Date,Record Number,Record Type,Address,Description,Project Name,Status,Short Notes
4/14/2020,CE20-0273,Enforcement Case,"831 LINK LN, SANTA ROSA CA 95401",Tons of gang graffiti on the fence,GRAF - Graffiti,Closed,
4/14/2020,CE20-0272,Enforcement Case,"21 CREEKVIEW CT, SANTA ROSA CA 95409",Vehicle parked long term on the dirt in the front yard,ZRVS - Residential Vehicular,Closed,
4/14/2020,CE20-0271,Enforcement Case,"2400 KAMLOOPS CT, SANTA ROSA CA 95405",Shrubbery fence extended into the setbacks,ZRM - Residential Miscellaneous,Closed,
4/14/2020,CE20-0270,Enforcement Case,"5926 YERBA BUENA RD, SANTA ROSA CA 95409","Garage converted into living space, commercial vehicles parked in driveway.",GC - Garage Conversion; ZRM - Residential Miscellaneous,Investigate,
4/14/2020,CE20-0269,Enforcement Case,"22 CREEKVIEW CT, SANTA ROSA CA 95409",Vehicle parked/stored on front yard dirt.,ZRVS - Residential Vehicular,Closed,
4/14/2020,CE20-0268,Enforcement Case,"6392 MEADOW CREEK CT, SANTA ROSA CA 95409",New fence built well beyond setbacks.,ZCM - Commercial Miscellaneous,Investigate,
4/14/2020,CE20-0267,Enforcement Case,"532 SONOMA AVE, B, SANTA ROSA CA 95401","Garage wall removed to make a larger living space, no smoke or carbon monoxide detectors, lack of proper ventilation in the bathroom.",GC - Garage Conversion,Closed,
4/14/2020,CE20-0266,Enforcement Case,"407 HEWETT ST, SANTA ROSA CA 95401",Structure being built right at the fence line.,BRNP - Building Residential - No Permit,Closed,
4/14/2020,CE20-0265,Enforcement Case,"1217 MELISSA CT, SANTA ROSA CA 95409","Partial interior garage tear out, replacing with living or office space. Storage of hazardous swimming pool chemicals (acid and chlorine) on the side of the garage.",GC - Garage Conversion; ZRM - Residential Miscellaneous,Investigate,
4/13/2020,CE20-0264,Enforcement Case,"2111 KAWANA SPRINGS RD, SANTA ROSA CA 95404","Apartment complex has a ""Trash Valet Service"" but the residence do not follow the terms of this service so trash is constantly left outside units.  This issue has been going on for close to a year.",ZRTD - Residential Trash and Debris,Closed,
4/13/2020,CE20-0263,Enforcement Case,"850 CODDINGTOWN, SANTA ROSA CA 95401",Fire Damage to Firestone Automotive Services Office,ECO,In Progress,
4/13/2020,CE20-0262,Enforcement Case,"2111 KAWANA SPRINGS RD, SANTA ROSA CA 95404","Residence of apartment building have been smoking cigarettes and marijuana in stairwells and on their patios even with ""No Smoking"" signs posted.UPDATE 1/4/21: Mattresses and couches left outside garbage area of complex (ongoing for several months).",ZRM - Residential Miscellaneous,Closed,
4/13/2020,CE20-0261,Enforcement Case,"405 COTTONWOOD DR, SANTA ROSA CA 95407","Abandoned residence, months of garbage buildup, rodent infestation, fencing unsafe, vegetation and trees overgrown which are touching power lines.",VAC - Vacant Residence; ZRTD - Residential Trasch and Debris,In Progress,
4/13/2020,CE20-0260,Enforcement Case,"6633 OAKMONT DR, SANTA ROSA CA 95409",Installation of solar panels on elevated structures covering parking spaces.,BCNP - Building Commerical - No Permit,Closed,
4/6/2020,CE20-0259,Enforcement Case,"1199 YULUPA AVE, SANTA ROSA CA 95405","Graffiti markings on backside of Subway and Lila's, shopping center owner has been aware since December.",GRAF - Graffiti,Closed,
4/6/2020,CE20-0258,Enforcement Case,"2809 BETH CT, SANTA ROSA CA 95403",Overgrown shrubs and grass on sidewalk.,ZRM - Residential Miscellaneous,Closed,
4/6/2020,CE20-0257,Enforcement Case,"611 SAINT MARY DR, SANTA ROSA CA 95409","Stop work order issued 3-17-20: installed new siding, windows and electrical on exterior. Front garage wall has been reframed and will require a drawing.",SWO - Stop Work Order; BRNP - Building Residential - No Permit,Closed,
4/6/2020,CE20-0256,Enforcement Case,"568 DRAKE DR, SANTA ROSA CA 95409",Stop work order issued 3-17-20: installed new windows and exterior siding; interior kitchen and bathroom remodeled.,SWO - Stop Work Order; BRNP - Building Residential - No Permit,In Progress,
4/3/2020,CE20-0255,Enforcement Case,"2872 STONY POINT RD, SANTA ROSA CA 95407","emergency call out for structure fire, trash and debris, homeless encampments vacant property",ECO structure fire,Closed,
4/2/2020,CE20-0254,Enforcement Case,"927 WRIGHT ST, SANTA ROSA CA 95404",Fire inside structure/ Laundry room electrical fire,ECO,Investigate,
3/30/2020,CE20-0253,Enforcement Case,"3100 DUTTON AVE, 150, SANTA ROSA CA 95407","Electrical fire interior of business. Very minor smoke damage to interior, fire damage to one electrical outlet and some equipment",ECO,In Progress,
3/27/2020,CE20-0252,Enforcement Case,"2232 MOLDAVITE LN, SANTA ROSA CA 95404",Uplifted sidewalk on the Brookwood Ave side of the house. It's posing a safety hazard.,ZRM - Residential Miscellaneous,Closed,
3/27/2020,CE20-0251,Enforcement Case,"2237 METEORITE LN, SANTA ROSA CA 95404",Uplifted sidewalk on the Brookwood Ave side of the house. It's posing a safety hazard.,ZRM - Residential Miscellaneous,Closed,
3/27/2020,CE20-0250,Enforcement Case,"214 HENDLEY ST, SANTA ROSA CA 95404","UN-PERMITTED SECOND DWELLING, ADDED A WALL DIVIDING THE LIVING ROOM FROM DINING ROOM AREA CONVERTING IT INTO A THIRD BEDROOM (DEN) AND THE 220 WIRES ARE GOING THROUGH THE TREES AND THERE IS A WIRING HANGING WHEN YOU WALK IN THE FRONT DOOR TO THE LEFT WITH A FUSE PIECE IF THE HEATER DOES NOT TURN ON, YOU HIT THE WIRE AND THE HEATER WILL TURN ON. 10-09-07 THE OWNER OBTAINED A PERMIT TO REMOVE THE LIVING SPACE FROM THE GARAGE AND RETURN GARAGE BACK TO ITS ORIGINAL USE. 11-24-08 THE OWNER CALLED FOR A FINAL INSPECTION OF THE GARAGE. 03-24-20 *REFER TO CLOSED CASE CE07-0028*UPDATE 04-30-20: SAME COMPLAINT, NON-PERMITTED CONSTRUCTION.",BRNP - Building Residential - No Permit,In Progress,
3/27/2020,CE20-0249,Enforcement Case,"1171 MERIDIAN CIR, SANTA ROSA CA 95401",Vegetation impeding public way.,ZRM - Residential Miscellaneous,Closed,
3/27/2020,CE20-0248,Enforcement Case,"1175 MERIDIAN CIR, SANTA ROSA CA 95401",Vegetation impeding public way and commercial truck parked in front yard.,ZRM - Residential Miscellaneous; ZRVS - Residential Vehicular,Closed,
3/27/2020,CE20-0247,Enforcement Case,"975 KENMORE LN, SANTA ROSA CA 95407",Extended storage and/or parking of vehicles in required yard space and cannabis on property.,ZRVS - Residential Vehicular,In Progress,
3/27/2020,CE20-0246,Enforcement Case,"1052 KENMORE LN, SANTA ROSA CA 95407",Extended storage and/or parking of vehicles in required yard space.,ZRVS - Residential Vehicular,Closed,
3/27/2020,CE20-0245,Enforcement Case,"925 KENMORE LN, SANTA ROSA CA 95407",Extended storage and/or parking of vehicles in required yard space.,ZRVS - Residential Vehicular,Closed,
3/27/2020,CE20-0244,Enforcement Case,"921 WILKEY CT, SANTA ROSA CA 95407",Extended storage and/or parking of vehicles in required yard space.,ZRVS - Residential Vehicular,Closed,
3/27/2020,CE20-0243,Enforcement Case,"917 WILKEY CT, SANTA ROSA CA 95407",Extended storage and/or parking of vehicles in required yard space.,ZRVS - Residential Vehicular,Closed,
3/27/2020,CE20-0242,Enforcement Case,"985 KEEGAN DR, SANTA ROSA CA 95407",Extended storage and/or parking of vehicles in required yard space.,ZRVS - Residential Vehicular,Closed,
3/27/2020,CE20-0241,Enforcement Case,"982 KEEGAN DR, SANTA ROSA CA 95407",Extended storage and/or parking of vehicles in required yard space.,ZRVS - Residential Vehicular,Closed,
3/27/2020,CE20-0240,Enforcement Case,"966 KEEGAN DR, SANTA ROSA CA 95407",Extended storage and/or parking of vehicles in required yard space.,ZRVS - Residential Vehicular,Closed,
3/27/2020,CE20-0239,Enforcement Case,"965 KEEGAN DR, SANTA ROSA CA 95407",Extended storage and/or parking of vehicles in required yard space.,ZRVS - Residential Vehicular,In Progress,
3/25/2020,CE20-0238,Enforcement Case,"835 2ND ST, SANTA ROSA CA 95404","Repaved, restriped affecting the accessible path of travel w/o confirmation of compliance without permit","BCNP - Building Commercial, No Permit",In Progress,
3/24/2020,CE20-0237,Enforcement Case,"1205 N DUTTON AVE, SANTA ROSA CA 95401",minor vehicle damage to structure and damage to photovoltaic system,ECO vehicle into structure,Open,
3/24/2020,CE20-0236,Enforcement Case,"2394 JULIO LN, SANTA ROSA CA 95401",Structure fire,ECO Structure fire,In Progress,
3/24/2020,CE20-0235,Enforcement Case,"962 KEEGAN DR, SANTA ROSA CA 95407",Extended storage and/or parking of vehicles in required yard space.,ZRVS - Residential Vehicular,In Progress,
3/24/2020,CE20-0234,Enforcement Case,"901 KEEGAN DR, SANTA ROSA CA 95407",Extended storage and/or parking of vehicles in required yard space.,ZRVS - Residential Vehicular,Closed,
3/24/2020,CE20-0233,Enforcement Case,"900 KEEGAN DR, SANTA ROSA CA 95407",Extended storage and/or parking of vehicles in required yard space.,ZRVS - Residential Vehicular,Closed,
3/24/2020,CE20-0232,Enforcement Case,"111 SEBASTOPOL RD, SANTA ROSA CA 95407","Property is being illegally used as a junk yard, body shop and car wash. Also, there is continuous toxic and hazardous waste spilled into the ground at the property.",ZCIO - Illegal Commercial; ECC - Environmental Crime - Commercial,In Progress,
3/17/2020,CE20-0231,Enforcement Case,"1666 PINER RD, SANTA ROSA CA 95403",Graffiti on the rear of the building,GRAF - Graffiti,Closed,
3/17/2020,CE20-0230,Enforcement Case,"728 LOUISA DR, SANTA ROSA CA 95404","Unpermitted units built in the back yard, one has no heating or plumbing and the other two have no heating and mold.",HRIL - Illegal Residential Unit; HRS - Substandard Housing,Investigate,
3/17/2020,CE20-0229,Enforcement Case,"3734 HILLARY CT, SANTA ROSA CA 95403","Trash and debris on the sidewalk, roadway shoulder and in the roadway on the back side of the parcel for the past couple of years (tree limbs, brush, tires and fence materials).",ZRTD - Residential Trash and Debris,Closed,
3/17/2020,CE20-0228,Enforcement Case,"1180 COMALLI ST, SANTA ROSA CA 95407","Owner has filled his side yard and back yard with old appliances and furniture, then moves them to the side walk waiting for the City to remove them. Hazardous to neighborhood children who are now playing on/with the appliances/furniture.",ZRTD - Residential Trash and Debris,In Progress,
3/17/2020,CE20-0227,Enforcement Case,"2236 JASPER LN, SANTA ROSA CA 95404",Inoperable car in driveway.,ZRVS - Residential Vehicular,Closed,
3/17/2020,CE20-0226,Enforcement Case,"587 COLGAN AVE, SANTA ROSA CA 95404",Mattress dumped/left in front of residence.,ZRTD - Residential Trash and Debris,Closed,
3/17/2020,CE20-0225,Enforcement Case,"2835 DUKE CT, SANTA ROSA CA 95407",Major noise and truck activity after 9:00PM. Possible cannabis activity.9-16-2020 Update  received another complaint regarding noise or cannabis cultivation,ZCM - Commercial Miscellaneous,Closed,
3/17/2020,CE20-0224,Enforcement Case,"927 DELPORT AVE, SANTA ROSA CA 95407","Couches dumped on the sidewalk - hazardous to pedestrians, they have to walk in the road to go around them.",ZRTD - Residential Trash and Debris,Closed,
3/17/2020,CE20-0223,Enforcement Case,"1334 PAGE CT, SANTA ROSA CA 95407","Travel trailer parked in front yard, abandoned vehicles, trash & debris in the front yard, trash cans are left on the street at all times.",ZRVS - Residential Vehicular; ZRTD - Residential Trash and Debris,Closed,SUNSET-MC MINN
3/17/2020,CE20-0222,Enforcement Case,"1605 GAMAY ST, SANTA ROSA CA 95403",Large pile of debris that has been there for over a year is damaging the fence between the properties.,ZRTD - Residential Trash and Debris,Closed,
3/17/2020,CE20-0221,Enforcement Case,"2900 SAINT PAUL DR, SANTA ROSA CA 95405",Smoking (marijuana and cigarettes) in units.,ZRM - Residential Miscellaneous,Closed,
3/17/2020,CE20-0220,Enforcement Case,"145 LINCOLN ST, 2, SANTA ROSA CA 95401",Mold in unit.,HRS - Substandard Housing,Investigate,
3/17/2020,CE20-0219,Enforcement Case,"4808 ANNADEL HEIGHTS DR, SANTA ROSA CA 95405",Graffiti on the street map.,GRAF - Graffiti,Open,
3/17/2020,CE20-0218,Enforcement Case,"4233 BROOKSHIRE CIR, SANTA ROSA CA 95405",Unpermitted in ground pool.,BRNP - Building Residential - No Permits,Investigate,
3/17/2020,CE20-0217,Enforcement Case,"2256 TRUCKEE DR, SANTA ROSA CA 95401","Working beyond the scope of re-roof permit, replaced exterior siding, unknown interior remodel (electrician van coming/going).",BRNP - Building Residential - No Permits,In Progress,
3/17/2020,CE20-0216,Enforcement Case,"3464 WALNUT GROVE ST, SANTA ROSA CA 95403",Back yard accessory structure in setbacks.,BRNP - Building Residential - No Permit,Closed,
3/17/2020,CE20-0215,Enforcement Case,"5512 RAINBOW CIR, SANTA ROSA CA 95409","Property owner has installed a generator that does not meet the city noise ordinance (SEE CE19-0996).November 4, 2020 received new complaint; owner building a structure in rear yard without permits",BRNP - Building Residential - No Permit,In Progress,
3/12/2020,CE20-0214,Enforcement Case,"1302 VALLEJO ST, SANTA ROSA CA 95404","Substandard living conditions and unpermitted garage conversionAdditional Complaint Received: January 29, 2021","HRS - Substandard Residential, GC - Garage Conversion",In Progress,
3/12/2020,CE20-0213,Enforcement Case,"1485 PLUMERIA DR, SANTA ROSA CA 95403",Twelve dogs on property,ZRA - Residential Animal Violation,Closed,
3/12/2020,CE20-0212,Enforcement Case,"1014 RUTH PL, SANTA ROSA CA 95401","Sever substandard conditions, hazardous electrical, interior remodel without permit, cannabis cultivation, egress issues.",HRS - Substandard Housing,In Progress,
3/11/2020,CE20-0211,Enforcement Case,"581 ARROWOOD DR, SANTA ROSA CA 95407",Vehicle into structure,ECO - Emergency Call Out,Closed,
3/11/2020,CE20-0210,Enforcement Case,"2425 LOMITAS AVE, SANTA ROSA CA 95404","Shed being built in backyard, possibly larger than 120 sf and possible setback violation.",ZRM - Residential Miscellaneous,In Progress,
3/9/2020,CE20-0209,Enforcement Case,"605 ACACIA LN, SANTA ROSA CA 95409",Demolition and remodel without permit.,BRNP - Building Residential No Permit,Closed,
3/9/2020,CE20-0208,Enforcement Case,"1245 KERNEY ST, SANTA ROSA CA 95401",Garage has been converted to a hash lab.  Space above the garage has been converted into an illegal living space.,"CRR - Cannabis Related Responce, GC - Garage Conversion, HRIL - Illegal Residential Unit",Investigate,
3/6/2020,CE20-0207,Enforcement Case,"2001 PINER RD, 206, SANTA ROSA CA 95403",Smoking in a multi-family complex,ZRM -  Residential Miscellaneous,Closed,
3/6/2020,CE20-0206,Enforcement Case,"2075 BEDFORD ST, SANTA ROSA CA 95404",Flagpole is too tall and out of compliance,ZRM -  Residential Miscellaneous,In Progress,
3/6/2020,CE20-0205,Enforcement Case,"2008 TUXHORN DR, SANTA ROSA CA 95407",Trash continually left in driveway.UPDATE 9/2/2020: Large plastic brown garbage bags possibly filled with toxic waste from family painting business.UPDATE 10/5/2020: Received new complaint.,ZRTD - Residential Trash and Debris,Closed,
3/6/2020,CE20-0204,Enforcement Case,"1320 EDWARDS AVE, SANTA ROSA CA 95401",Tree branches obstructing traffic.,ZRM -  Residential Miscellaneous,Closed,
3/6/2020,CE20-0203,Enforcement Case,"1323 EDWARDS AVE, SANTA ROSA CA 95401",Tree branches obstructing traffic.,ZRM -  Residential Miscellaneous,Closed,
3/6/2020,CE20-0202,Enforcement Case,"1330 EDWARDS AVE, SANTA ROSA CA 95401",Tree branches obstructing traffic.,ZRM  Residential Miscellaneous,Closed,
3/6/2020,CE20-0201,Enforcement Case,"1600 HERBERT ST, SANTA ROSA CA 95401",Tree branches obstructing traffic.,ZRM -  Residential Miscellaneous,Closed,
3/6/2020,CE20-0200,Enforcement Case,"101 MASSIMO CIR, SANTA ROSA CA 95404",Overgrown ivy causing a vision obstruction to cross traffic.,ZRM -  Residential Miscellaneous,Closed,
3/6/2020,CE20-0199,Enforcement Case,"1521 DUDLEY PL, SANTA ROSA CA 95401",Debris left at rear of property to create a make-shift curb.,ZRTD - Residential Trash and Debris,Closed,
3/6/2020,CE20-0198,Enforcement Case,"2300 BETHARDS DR, SANTA ROSA CA 95405",SWO issued for Interior bathroom remodel in commercial building without benefit of permit in both men's and women's bathroom.,BCNP - Building Commercial No Permit,Closed,
3/5/2020,CE20-0197,Enforcement Case,"2431 GUERNEVILLE RD, SANTA ROSA CA 95403",Four (4) vehicles have been sitting on the property for over a year.,ZRVS - Residential Vehicular,In Progress,
3/5/2020,CE20-0196,Enforcement Case,"2730 SANTA ROSA AVE, SANTA ROSA CA 95407",Homeless camping in the planter strip.,ZCTD - Commercial Trash and Debris,Investigate,
3/5/2020,CE20-0195,Enforcement Case,"2658 WILD BILL CIR, SANTA ROSA CA 95407",Trees lifting sidewalks on Bellevue Subdivision,ZRM - Residential Miscellaneous,Closed,
3/5/2020,CE20-0194,Enforcement Case,"2015 PIONEER WAY, 3, SANTA ROSA CA 95403",Severe sewage odor and mold.,HRS - Substandard Housing,In Progress,
3/5/2020,CE20-0193,Enforcement Case,"509 FRAZIER AVE, SANTA ROSA CA 95404","Structure fire, extensive damage",ZCM - Commercial Miscellaneous,In Progress,
3/5/2020,CE20-0192,Enforcement Case,"2624 ARROWHEAD DR, SANTA ROSA CA 95407",Trees lifting sidewalks in Bellevue Subdivision,ZRM - Residential Miscellaneous,Closed,
3/5/2020,CE20-0191,Enforcement Case,"2622 ARROWHEAD DR, SANTA ROSA CA 95407",Trees lifting sidewalks in Bellevue Subdivision.,ZRM - Residential Miscellaneous,Closed,
3/4/2020,CE20-0190,Enforcement Case,"1135 EVANS DR, SANTA ROSA CA 95405",Interior/exterior remodel without permit.,BRNP - Building Residential - No Permit,Closed,
3/4/2020,CE20-0189,Enforcement Case,"591 DEBBIE DR, SANTA ROSA CA 95407",Restaurant operated out of home.Reopened 09/11/2020 complaint stated cooking in the garage and reopened for business.,ZRHO - Home Occupation,Admin Citation,
3/4/2020,CE20-0188,Enforcement Case,"3645 CROWN HILL DR, SANTA ROSA CA 95404",Building without a permit out of code.,BRNP - Building Residential No Permit,In Progress,
3/3/2020,CE20-0187,Enforcement Case,"1945 BLUE SKY LN, SANTA ROSA CA 95407",Trees lifting sidewalks in Bellvue Ranch Subdivision,ZRM-Residential Miscellaneous,Closed,
3/3/2020,CE20-0186,Enforcement Case,"3507 BARNES RD, SANTA ROSA CA 95403",Garbage cans left in the street continually.,ZRM - Residential Miscellaneous,Closed,
3/3/2020,CE20-0185,Enforcement Case,"2504 MAGOWAN DR, SANTA ROSA CA 95405",Cutting down tree without permit.,ZRM - Residential Miscellaneous,Closed,
3/3/2020,CE20-0184,Enforcement Case,"505 MENDOCINO AVE, SANTA ROSA CA 95401",Stop work issued.  No zoning clearance,ZCM - Commercial Miscellaneous,Closed,
3/3/2020,CE20-0183,Enforcement Case,"331 ORANGE ST, SANTA ROSA CA 95401",May be 17 people living at this address,ZRHO- Home Occupation,Closed,
3/3/2020,CE20-0182,Enforcement Case,"140 EARLE ST, SANTA ROSA CA 95407",Graffiti on front fence.,GRAF - Graffiti,Closed,
3/3/2020,CE20-0181,Enforcement Case,"4040 RAINIER AVE, SANTA ROSA CA 95405",Storage of trailer out of compliance,ZRVS - Residential Vehicular,Closed,
3/3/2020,CE20-0180,Enforcement Case,"702 BENNETT VALLEY RD, SANTA ROSA CA 95404",Accumulation of trash and debris from homeless encampment.,ZRTD - Residential Trash and Debris,Closed,
3/3/2020,CE20-0179,Enforcement Case,"131 COLGAN AVE, SANTA ROSA CA 95404","Electrical problem, building lights at night keep flickering on and off possible fire hazard.",ZRM - Residential Miscellaneous,Closed,
3/3/2020,CE20-0179,Enforcement Case,"131 COLGAN AVE, SANTA ROSA CA 95404","Electrical problem, building lights at night keep flickering on and off possible fire hazard.",ZRM - Residential Miscellaneous,Closed,
3/3/2020,CE20-0178,Enforcement Case,"1179 PACIFIC AVE, SANTA ROSA CA 95404",Accumulation of trash and debris on property,ZRTD - Residential Trash and Debris,Closed,
3/3/2020,CE20-0177,Enforcement Case,"2934 MCBRIDE LN, SANTA ROSA CA 95403",Residential not permitted in commercial building,HRIL - Illegal Residential Unit,Closed,
3/3/2020,CE20-0176,Enforcement Case,"3 A ST, SANTA ROSA CA 95401",Graffiti covering large areas of the old Sears automotive.,GRAF - Graffiti,In Progress,
3/3/2020,CE20-0175,Enforcement Case,"650 SEBASTOPOL RD, SANTA ROSA CA 95407",Homeless encampment leading to accumulation of trash and debris.,ZCTD - Commercial Trash and Debris,Closed,
3/3/2020,CE20-0174,Enforcement Case,"2450 OLD STONY POINT RD, SANTA ROSA CA 95407",125521010,ZRTD - Residential Trash and Debris,Closed,
3/3/2020,CE20-0173,Enforcement Case,"1216 JACKY DR, SANTA ROSA CA 95405","Severe fire damage. Added 3/25/2020 by JG16: Note to Intake Staff - Navigate to ""Documents"" and see Demo Submittal Instructions for additional information.",ZRM  Residential Miscellaneous,Closed,
3/3/2020,CE20-0172,Enforcement Case,"1116 CLEVELAND AVE, SANTA ROSA CA 95401","Malfunctioning entryway door, mold and vermin infestation.",HRS - Substandard Housing,Closed,
2/27/2020,CE20-0171,Enforcement Case,"4056 RAINIER AVE, SANTA ROSA CA 95405",Large trailer sticking out towards street.UPDATE 11/30/2020: Another investigation form received.,ZRVS - Residential Vehicular,Closed,
2/26/2020,CE20-0170,Enforcement Case,"2126 ONYX WAY, SANTA ROSA CA 95404",Garbage cans left in the street continually.,ZRM - Residential Miscellaneous,Closed,
2/25/2020,CE20-0169,Enforcement Case,"551 MCFALL CT, SANTA ROSA CA 95401",Graffiti on property.,GRAF - Graffiti,Closed,
2/25/2020,CE20-0168,Enforcement Case,"1735 PINER RD, SANTA ROSA CA 95403",Accumulation of trash and debris from homeless encampment.,ZRTD - Residential Trash and Debris,Closed,
2/25/2020,CE20-0167,Enforcement Case,"5452 HWY 12, SANTA ROSA CA 95409",Roosters,ZRA - Residential Animal Violation,Closed,
2/25/2020,CE20-0166,Enforcement Case,"2274 JASPER LN, SANTA ROSA CA 95404",Storing boat in driveway.,ZRM - Residential Miscellaneous,Closed,
2/25/2020,CE20-0165,Enforcement Case,"2120 ONYX WAY, SANTA ROSA CA 95404",Garbage cans left continually on the street.,ZRM - Residential Miscellaneous,Closed,
2/25/2020,CE20-0164,Enforcement Case,"2135 WEST AVE, SANTA ROSA CA 95407",Boat stored in front yard.,ZRM - Residential Miscellaneous,In Progress,
2/25/2020,CE20-0163,Enforcement Case,"130 S E ST, 8, SANTA ROSA CA 95404",Mold,HRS - Substandard Residential,Closed,
2/25/2020,CE20-0162,Enforcement Case,"130 S E ST, 1, SANTA ROSA CA 95404",Mold,HRS - Residential Substandard,Closed,
2/25/2020,CE20-0161,Enforcement Case,"1430 BEACHWOOD DR, SANTA ROSA CA 95407",Report of graffiti on the corner of Beachwood Dr. and Halwood Ct.,GRAF - Graffiti,Closed,
2/25/2020,CE20-0160,Enforcement Case,"2605 RANGE AVE, 54, SANTA ROSA CA 95403",Black mold reported inside unit,HRS - Substandard Residential,Investigate,
2/25/2020,CE20-0159,Enforcement Case,"4862 MONTGOMERY DR, SANTA ROSA CA 95409",Safety hazard due to failure to remove dead and decayed trees.,TREE - Tree Violation,Closed,
2/25/2020,CE20-0158,Enforcement Case,"1314 GRAND AVE, SANTA ROSA CA 95404",Non operational vehicle stored in driveway.,ZRVS - Residential Vehicular,Closed,
2/25/2020,CE20-0157,Enforcement Case,"518 GARFIELD PARK AVE, SANTA ROSA CA 95409",Furniture left on the front lawn.,ZRTD - Residential Trash and Debris,Closed,
2/25/2020,CE20-0156,Enforcement Case,"2829 SENECA LN, SANTA ROSA CA 95403",Unpermitted garage conversion.,GC - Garage Converstion,Planning Review,
2/24/2020,CE20-0155,Enforcement Case,"755 4TH ST, SANTA ROSA CA 95404","Trash and recycle bins remain outside daily, attracts homeless.",ZRM - Residential Miscellaneous,Closed,
2/24/2020,CE20-0154,Enforcement Case,"744 LIANA DR, SANTA ROSA CA 95407",Rooster(s) on property,ZRA - Residential Animal Violation,Closed,
2/24/2020,CE20-0153,Enforcement Case,"315 GILBERT DR, SANTA ROSA CA 95405","5th-wheel in driveway possibly inhabited; multiple cars blocking driveway; possible illegal activity (drugs).April 1, 2020 I received another complaint regarding the ongoing activity at this property late into the evening, possible drug and other stuff.UPDATE 5-06-2020: Two plastic containers filled with motor oil sitting along the left side of the driveway. Also, evidence of oil spillage on the sidewalk.",ZRVS - Residential Vehicular,Closed,
2/24/2020,CE20-0152,Enforcement Case,"1571 JAVORE DR, SANTA ROSA CA 95407",Graffiti on fence,GRAF - Graffiti,Closed,
2/24/2020,CE20-0151,Enforcement Case,"165 MIDDLE RINCON RD, SANTA ROSA CA 95409",Possible illegal auto repair,ZRHO - Home Occupation,Closed,
2/24/2020,CE20-0150,Enforcement Case,"681 POWDERHORN AVE, SANTA ROSA CA 95407",Auto repair business being operated out of home.,ZRHO - Home Occupation,Closed,
2/24/2020,CE20-0149,Enforcement Case,"1755 BRUSH CREEK RD, SANTA ROSA CA 95404",Rooster,ZRA - Residential Animal Violation,Closed,
2/24/2020,CE20-0148,Enforcement Case,"1979 SEVILLE ST, SANTA ROSA CA 95403",Accumulation of trash and debris and continual yard sale.UPDATE 3/4/2020: Accumulation of trash and debris throughout the front of the property.,"ZRTD - Residential Trash and Debris, ZRHO - Home Occupation",Closed,
2/24/2020,CE20-0147,Enforcement Case,"616 MENDOCINO AVE, SANTA ROSA CA 95401",,ZCM - Commercial Miscellaneous,Closed,
2/24/2020,CE20-0146,Enforcement Case,"50 MISSION BLVD, SANTA ROSA CA 95409",Large accumulation of trash and debris behind businesses on property.,ZCTD - Commercial Trash and Debris,Investigate,
2/24/2020,CE20-0145,Enforcement Case,"2405 GADS HILL ST, SANTA ROSA CA 95401",Concrete work on driveway and walkway,BRNP - Building Residential - No Permit,Closed,
2/21/2020,CE20-0144,Enforcement Case,"701 LIANA DR, SANTA ROSA CA 95407",Graffiti on fence facing West Ave.,GRAF - Graffiti,Closed,
2/20/2020,CE20-0143,Enforcement Case,"2616 LATHROP DR, SANTA ROSA CA 95407",ADU constructed without a permit.,BRNP - Building Residential No Permit,Closed,
2/20/2020,CE20-0142,Enforcement Case,"1255 MARTHA WAY, SANTA ROSA CA 95405",Vehicle parked on grass for an extended period of time,ZRVS - Residential Vehicular,Closed,
2/20/2020,CE20-0141,Enforcement Case,"209 DAREK DR, SANTA ROSA CA 95401",M. Maystrovich issued a Stop Work Notice - Full interior remodel.,"BRNP - Building Residential, No Permit",Closed,
2/19/2020,CE20-0140,Enforcement Case,"1014 JACK LONDON DR, SANTA ROSA CA 95409",Washing concrete into street gutters/storm drain,ECR - Environmental Crime - Residential,Investigate,
2/19/2020,CE20-0139,Enforcement Case,"1900 BRUSH CREEK RD, SANTA ROSA CA 95404","Yard debris, gate and driveway construction without a permit.UPDATE 08/04/2020: Unpermitted home addition extending through the property setbacks.update  10-21-2020 another complaint filed to City Manager regarding the unpermitted addition and tree removalUPDATE 11-2-2020 NEW COMPLAINT; NEIGHBOR INSTALLED EXTERIOR LIGHT FIXTURES AND LIGHT BLEED THROUGH WINDOWS INTO INTERIOR OF NEIGHBORING PROPERTY","ZRTD - Residential Trash and Debris, BRNP - Building Residential No Permit",In Progress,
2/19/2020,CE20-0138,Enforcement Case,"5316 GOLD DR, SANTA ROSA CA 95409",Fence out of compliance,BRNP - Building Residential - No Permit,Closed,
2/18/2020,CE20-0137,Enforcement Case,"3556 FOXWOOD PL, SANTA ROSA CA 95405",Installation of swimming pool without permits and without hillside design review,BRNP - Building Residential  - No Permit,Investigate,
2/12/2020,CE20-0136,Enforcement Case,"3056 SONOMA AVE, SANTA ROSA CA 95405",Carport built inside of setback and without permit.UPDATE 07/27/2020: 6 FEET FENCE BUILT IN CORNER SIDE SETBACK.,BRNP - Building Residential No Permit,Investigate,
2/12/2020,CE20-0135,Enforcement Case,"4760 GRANADA DR, SANTA ROSA CA 95409",Electrical issues and non operational vehicles on property.,"HRS - Substandard Residential, ZRVS - Residential Vehicular, HRIL - Illegal Residential",In Progress,
